Model,15mins,daily,weekly,monthly
DT,0.03346258184162828,0.21113547935063487,0.8743635071626212,3.506747969923886
EN,0.04586587213848254,0.24322106809246857,1.3882958409829436,5.868253404261707
KNN,0.051335344758652014,0.1956656694643884,0.6722971122652689,2.602108546921776
LGBM,0.03077111139742681,0.18790297545169043,0.5287993787979508,1.5152665000986991
MLP,0.03853339941077288,0.2875065280235636,1.4669760569980135,6.213559937652147
XGB,0.03056238574571192,0.18610627854751746,0.557633161444454,1.6654628866775807
