Model,15mins,daily,weekly,monthly
DT,0.8731173685895763,0.9811900589736439,0.9917498909839165,0.9935410589612254
EN,0.8361783617307912,0.9784478924448278,0.9803059405506709,0.9795819479869479
KNN,0.8402645517790736,0.9829452790634581,0.9934519450011278,0.9948694240160646
LGBM,0.8940628285440249,0.9850282482955163,0.9962728422267371,0.998490095167359
MLP,0.8672402144023316,0.9707105748352534,0.9785152341516219,0.9792403628214537
XGB,0.894538842150479,0.9854829657613606,0.996114524341387,0.9981487428303051
