metrics.rmspe,metrics.rmse,metrics.r2,params.colsample_bytree,params.subsample,params.max_depth,params.eta,params.n_estimators
0.0307029237154658,0.0642003775794899,0.897987775903677,0.8,0.7,6,0.01,900
0.0308859031568129,0.0642009486538299,0.8979859610600625,0.8,0.7,6,0.01,700
0.0307377787725286,0.0642136869770974,0.8979454751560088,0.8,0.7,7,0.01,700
0.0306986223496213,0.0642381431304009,0.8978677242432682,0.8,0.7,6,0.01,1000
0.0307780583377774,0.0642759700968422,0.897747406579729,0.8,1.0,6,0.01,900
0.0309065132426538,0.0642766979749012,0.8977450906958757,0.8,1.0,6,0.01,700
0.0307151531273049,0.0642767529560583,0.8977449157616987,0.8,0.8,7,0.01,700
0.0307656023008238,0.0642914588884219,0.8976981203556982,0.8,1.0,6,0.01,1000
0.0323761401198541,0.0642939737662922,0.8976901167493223,0.8,0.7,7,0.01,500
0.0306778876530982,0.0642947250128548,0.8976877258441522,0.8,1.0,7,0.01,700
0.0309075324606481,0.0643181802786162,0.8976130634419947,0.8,0.8,6,0.01,700
0.030569715509544,0.0643182651685199,0.8976127931724414,0.8,0.7,7,0.01,900
0.0307022025388838,0.0643203409335855,0.8976061843120782,0.8,0.8,6,0.01,900
0.0304732871872105,0.0643262719813073,0.897587299753991,0.8,1.0,7,0.01,900
0.0306915754164507,0.0643451191354258,0.897527278532439,0.8,0.8,6,0.01,1000
0.0323767368912483,0.0643498016285579,0.8975123637951642,0.8,0.8,7,0.01,500
0.0321688442576884,0.0643709579381212,0.8974449629164375,0.8,0.8,7,0.05,100
0.0304910658308421,0.0643929449733684,0.8973748919905237,0.8,1.0,7,0.01,1000
0.0323348542748764,0.0643958283106758,0.897365701249905,0.8,1.0,7,0.01,500
0.0305643760571963,0.0643959709763979,0.8973652464871371,0.8,0.7,7,0.01,1000
