metrics.r2,metrics.mae,metrics.rmse,params.n_neighbor,params.weight,tags.mlflow.runName
0.9934447424920718,129.17085292084417,207.8406253885941,11,distance,knn_11_weight_distance
0.993442107215644,128.913396130086,207.88239815375832,10,distance,knn_10_weight_distance
0.9934411908178752,128.60307113827685,207.8969223551561,9,distance,knn_9_weight_distance
0.993430514951673,128.27005533966417,208.06605193569632,8,distance,knn_8_weight_distance
0.993426058811304,129.31505133148076,208.1366065037276,12,distance,knn_12_weight_distance
0.99341805956514,129.51659206507992,208.26319949665748,13,distance,knn_13_weight_distance
0.993393259926798,129.62966978558794,208.65518086979296,14,distance,knn_14_weight_distance
0.9933850255682272,129.8311303921321,208.78516983081556,15,distance,knn_15_weight_distance
0.9933809724218006,128.15371323369214,208.8491237649015,7,distance,knn_7_weight_distance
0.9933591237879588,130.10811824076848,209.19353301862955,16,distance,knn_16_weight_distance
0.993356833497328,127.80996469378393,209.22960300936109,5,distance,knn_5_weight_distance
0.9933546412351912,128.12004892929255,209.26412331686396,6,distance,knn_6_weight_distance
0.9933442476792488,130.27774807906343,209.4277073062204,17,distance,knn_17_weight_distance
0.9933427592984432,129.234474170258,209.4511224470164,9,uniform,knn_9_weight_uniform
0.9933426230259526,130.48427063317246,209.45326614898767,18,distance,knn_18_weight_distance
0.9933396212441604,129.59389925561092,209.50048160230008,10,uniform,knn_10_weight_uniform
0.9933373822020748,129.86770485964476,209.53569288652056,11,uniform,knn_11_weight_uniform
0.9933331965459524,128.86348547601725,209.60150085264104,8,uniform,knn_8_weight_uniform
0.9933158189179304,130.0232914497864,209.87449573554807,12,uniform,knn_12_weight_uniform
0.9933147004594958,130.7301225950482,209.8920540630676,19,distance,knn_19_weight_distance
