metrics.r2,metrics.mae,metrics.rmse,params.alpha,params.l1_ratio,tags.mlflow.runName
0.9873631349408576,245.5257325581332,288.5726955438189,0.5,1.0,elastic_alpha_0.5_l1_ratio_1.0
0.987352269274316,243.11090504376503,288.69673188289926,1.0,1.0,elastic_alpha_1.0_l1_ratio_1.0
0.9872756427198656,248.18191429885903,289.56994902493915,0.0,1.0,elastic_alpha_0.0_l1_ratio_1.0
0.9872756427198656,248.18191429885903,289.56994902493915,0.0,0.95,elastic_alpha_0.0_l1_ratio_0.9500000000000001
0.9872756427198656,248.18191429885903,289.56994902493915,0.0,0.9,elastic_alpha_0.0_l1_ratio_0.9
0.9872756427198656,248.18191429885903,289.56994902493915,0.0,0.8500000000000001,elastic_alpha_0.0_l1_ratio_0.8500000000000001
0.9872756427198656,248.18191429885903,289.56994902493915,0.0,0.8,elastic_alpha_0.0_l1_ratio_0.8
0.9872756427198656,248.18191429885903,289.56994902493915,0.0,0.75,elastic_alpha_0.0_l1_ratio_0.75
0.9872756427198656,248.18191429885903,289.56994902493915,0.0,0.7000000000000001,elastic_alpha_0.0_l1_ratio_0.7000000000000001
0.9872756427198656,248.18191429885903,289.56994902493915,0.0,0.65,elastic_alpha_0.0_l1_ratio_0.65
0.9872756427198656,248.18191429885903,289.56994902493915,0.0,0.6000000000000001,elastic_alpha_0.0_l1_ratio_0.6000000000000001
0.9872756427198656,248.18191429885903,289.56994902493915,0.0,0.55,elastic_alpha_0.0_l1_ratio_0.55
0.9872756427198656,248.18191429885903,289.56994902493915,0.0,0.5,elastic_alpha_0.0_l1_ratio_0.5
0.9872756427198656,248.18191429885903,289.56994902493915,0.0,0.45,elastic_alpha_0.0_l1_ratio_0.45
0.9872756427198656,248.18191429885903,289.56994902493915,0.0,0.4,elastic_alpha_0.0_l1_ratio_0.4
0.9872756427198656,248.18191429885903,289.56994902493915,0.0,0.35,elastic_alpha_0.0_l1_ratio_0.35000000000000003
0.9872756427198656,248.18191429885903,289.56994902493915,0.0,0.3,elastic_alpha_0.0_l1_ratio_0.30000000000000004
0.9872756427198656,248.18191429885903,289.56994902493915,0.0,0.25,elastic_alpha_0.0_l1_ratio_0.25
0.9872756427198656,248.18191429885903,289.56994902493915,0.0,0.2,elastic_alpha_0.0_l1_ratio_0.2
0.9872756427198656,248.18191429885903,289.56994902493915,0.0,0.15,elastic_alpha_0.0_l1_ratio_0.15000000000000002
