metrics.mape,metrics.r2,metrics.rmse,params.splitter,params.min_samples_split,params.max_depth,params.criterion,params.min_samples_leaf,tags.mlflow.runName
0.0336715314833179,0.8775165609286703,0.0703477416691103,best,32,11,friedman_mse,32,decisionTree_929
0.0336715314833179,0.8775165609286703,0.0703477416691103,best,16,11,friedman_mse,32,decisionTree_923
0.0336715314833179,0.8775165609286703,0.0703477416691103,best,8,11,friedman_mse,32,decisionTree_917
0.0336715314833179,0.8775165609286703,0.0703477416691103,best,4,11,friedman_mse,32,decisionTree_911
0.0336715314833179,0.8775165609286703,0.0703477416691103,best,2,11,friedman_mse,32,decisionTree_905
0.0336715314833179,0.8775165609286703,0.0703477416691103,best,32,11,mse,32,decisionTree_179
0.0336715314833179,0.8775165609286703,0.0703477416691103,0.0036best,16,11,mse,32,decisionTree_173
0.0336715314833179,0.8775165609286703,0.0703477416691103,best,8,11,mse,32,decisionTree_167
0.0336715314833179,0.8775165609286703,0.0703477416691103,best,4,11,mse,32,decisionTree_161
0.0336715314833179,0.8775165609286703,0.0703477416691103,best,2,11,mse,32,decisionTree_155
0.0337136077971201,0.8769152584169801,0.070520207781295,best,32,13,friedman_mse,32,decisionTree_959
0.0337136077971201,0.8769152584169801,0.070520207781295,best,16,13,friedman_mse,32,decisionTree_953
0.0337136077971201,0.8769152584169801,0.070520207781295,best,8,13,friedman_mse,32,decisionTree_947
0.0337136077971201,0.8769152584169801,0.070520207781295,best,4,13,friedman_mse,32,decisionTree_941
0.0337136077971201,0.8769152584169801,0.070520207781295,best,2,13,friedman_mse,32,decisionTree_935
0.0337136077971201,0.8769152584169801,0.070520207781295,best,32,13,mse,32,decisionTree_209
0.0337136077971201,0.8769152584169801,0.070520207781295,best,16,13,mse,32,decisionTree_203
0.0337136077971201,0.8769152584169801,0.070520207781295,best,8,13,mse,32,decisionTree_197
0.0337136077971201,0.8769152584169801,0.070520207781295,best,4,13,mse,32,decisionTree_191
0.0337136077971201,0.8769152584169801,0.070520207781295,best,2,13,mse,32,decisionTree_185
