,0
0,0.06869163653459943
1,0.09203853984811446
2,0.11342213118413139
3,0.13544036155426184
4,0.1584803285756532
5,0.18276802032538617
6,0.20787140289692735
7,0.23052652791165532
8,0.2492036995271966
9,0.2662703751418087
10,0.2816808166729082
11,0.29576713362666807
12,0.30710790723722703
13,0.3165759738079737
14,0.3202457364885611
15,0.3167995814503262
16,0.3100345967953244
17,0.29953343881287087
18,0.28506157864728426
19,0.06253960151286626
20,0.0798163678207805
21,0.10051373874219924
22,0.12547631834013304
23,0.1512497959242948
24,0.171568330120481
25,0.1905903517735123
26,0.20422685830073098
27,0.21823806203559049
28,0.23440707959500692
29,0.25245053343856555
30,0.27177715061002966
31,0.28970602841580995
32,0.3054308541483327
33,0.3192191472452694
34,0.33061494010412856
35,0.33819456929842673
36,0.34143327274299334
37,0.33917828190140875
