,0
0,0.06253960151286626
1,0.0798163678207805
2,0.10051373874219924
3,0.12547631834013304
4,0.1512497959242948
5,0.171568330120481
6,0.1905903517735123
7,0.20422685830073098
8,0.21823806203559049
9,0.23440707959500692
10,0.25245053343856555
11,0.27177715061002966
12,0.28970602841580995
13,0.3054308541483327
14,0.3192191472452694
15,0.33061494010412856
16,0.33819456929842673
17,0.34143327274299334
18,0.33917828190140875
19,0.3308592243981648
20,0.31719820315032665
21,0.29969675418673863
22,0.2790230741511553
23,0.2560510199964748
